date,pair,open,high,low,close,year
2025-09-26,USDKES,154.3867,154.4459,154.226,154.42130067753257,2025
2024-12-27,USDKES,147.675,147.9532,147.2174,147.79820243582787,2024
2024-08-02,USDNGN,1019.0611,1023.4608,1015.8147,1018.7843788385729,2024
2023-11-09,USDNGN,716.908,718.9939,715.1638,717.1243564193138,2023
2025-08-18,USDKES,149.333,149.5748,149.1234,149.45637415405463,2025
2024-08-20,USDZAR,19.7955,19.8253,19.7913,19.797927963107625,2024
2025-12-29,USDEGP,59.2046,59.3099,59.1402,59.19677581109898,2025
2024-08-07,USDZAR,19.4923,19.5476,19.4693,19.469505734291875,2024
2024-11-06,USD/NGN,1157.8463,1159.5471,1155.8142,1157.9485110682087,2024
2024-07-11,USDNGN,1028.692,1031.148,1028.0875,1029.0686252026223,2024
2024-07-03,USDKES,149.9302,149.9811,149.6198,149.73094072345785,2024
2024-03-20,USDEGP,34.6791,34.8283,34.6095,34.71887826763172,2024
2023-12-20,USDZAR,16.5098,16.5777,16.4631,16.54597693566352,2023
2023-12-08,USDKES,149.1485,149.6349,148.4753,148.9960417057815,2023
2023-08-24,USDZAR,16.5355,16.5423,16.4745,16.530795540506798,2023
2023-03-07,USDNGN,583.5369,584.0211,583.2539,583.6518221834943,2023
2023-09-01,USDNGN,603.1488,603.593,602.6299,602.7218064775735,2023
2024-10-04,USDKES,149.384,149.4421,149.1271,149.43818382803374,2024
2025-08-12,USDEGP,56.4029,56.4163,56.334,56.3551461885279,2025
2025-01-28,USDEGP,46.0068,46.1734,45.7889,45.948967032218434,2025
2023-01-31,USDEGP,31.974,32.1492,31.9236,32.011564043918625,2023
2023-09-25,USDKES,152.5637,152.782,152.3243,152.368412946539,2023
2023-09-05,USDKES,147.6081,147.7308,147.2098,147.56782086274555,2023
2024-01-26,USDEGP,34.6404,34.7517,34.6139,34.67315901158279,2024
2025-11-18,USDZAR,24.8788,24.8879,24.8472,24.853842971107575,2025
2023-04-06,USDEGP,34.1332,34.1737,34.1,34.14546130876902,2023
2025-05-06,USDNGN,1451.9961,1453.7665,1449.9441,1453.10689023617,2025
2025-01-22,USDNGN,1403.68,1404.1125,1399.6116,1402.05323421437,2025
2024-05-03,USDEGP,37.0922,37.2001,37.0102,37.1415,2024
2023-10-25,USDZAR,16.761,16.7702,16.7354,16.745583677848753,2023
2023-12-14,USDNGN,798.6311,799.239,795.6083,796.7487899685168,2023
2025-06-19,USDNGN,1481.1184,1486.0118,1477.4203,1482.2663461111792,2025
2024-05-23,USDNGN,927.457,927.9082,927.2279,927.8814883055321,2024
2025-11-18,USDNGN,1628.5493,1629.1431,1624.9345,1627.1004124284693,2025
2023-08-15,USDKES,146.0288,146.5582,145.8238,146.25301971540736,2023
2025-01-10,USDNGN,1300.6724,1301.0989,1297.7022,1300.9707787779414,2025
2025-10-27,USDKES,147.55,147.8271,147.3942,147.73132657945007,2025
2023-06-16,USDKES,132.2315,132.2739,131.9765,132.07288839653563,2023
2025-02-05,USDEGP,45.8481,45.9661,45.8368,45.85529716739496,2025
2024-08-19,USDKES,143.3535,143.942,143.0211,143.3266236245932,2024
2024-10-07,USDEGP,39.5235,39.6135,39.4614,39.50982979102022,2024
2024-10-30,USDEGP,40.5717,40.6079,40.5123,40.600825127901764,2024
2025-03-24,USDNGN,1501.8135,1504.0704,1499.3809,1501.4548990812468,2025
2023-04-13,USDZAR,18.8229,18.8589,18.8167,18.837541319933756,2023
2024-07-25,USDNGN,1034.9775,1036.2764,1032.2026,1036.19993076284,2024
2025-11-06,USDEGP,58.9854,59.0563,58.8825,58.98149854145471,2025
2025-07-16,USDZAR,26.3908,26.446,26.3482,26.4054,2025
2025-03-25,USDEGP,53.244,53.2949,53.0515,53.15622290354208,2025
