country,year,inflation_pct,gdp_growth_pct
South Africa,2020,3.49,-2.37
South Africa,2021,3.84,0.5
South Africa,2022,9.89,1.62
South Africa,2023,5.69,1.09
South Africa,2024,7.67,1.72
Egypt,2020,23.79,1.15
Egypt,2021,23.04,2.09
Egypt,2022,21.34,3.9
Egypt,2023,28.45,2.19
Egypt,2024,19.8,4.35
Nigeria,2021,20.74,0.34
Nigeria,2022,26.61,4.01
Nigeria,2023,22.9,1.78
Nigeria,2024,20.29,3.11
Kenya,2020,5.85,-1.58
Kenya,2021,5.7,6.17
Kenya,2022,6.98,3.1
Kenya,2023,5.77,4.16
Kenya,2024,8.17,4.07
