pair,year,start_rate,end_rate,exchange_rate_change_pct,local_currency_value_change_pct,annualized_volatility_pct,observations,country
USDEGP,2023,32.011564043918625,32.41220785972957,1.2515596403264673,-1.2360892462025763,68.53432084219388,9,Egypt
USDEGP,2024,34.67315901158279,43.02338017197216,24.082666242207473,-19.408566056437305,45.298646936858525,8,Egypt
USDEGP,2025,41.68194802717823,59.19677581109898,42.02017567053347,-29.58746915509686,92.41458182638387,10,Egypt
USDKES,2023,129.28685750721786,148.9960417057815,15.244538059456897,-13.227991813019324,81.8715581604741,9,Kenya
USDKES,2024,143.20755300253282,147.79820243582787,3.2055917003301246,-3.1060252138643274,38.76344136687794,11,Kenya
USDKES,2025,153.3907,138.8352811771587,-9.489114283226636,10.483948099811968,61.7471089057804,10,Kenya
USDNGN,2023,583.6518221834943,796.7487899685168,36.51097446895778,-26.74581630597053,98.85530415014753,10,Nigeria
USDNGN,2024,785.3471317853044,1157.9485110682087,47.44416375926421,-32.17771565155165,136.49119578656342,6,Nigeria
USDNGN,2025,1300.9707787779414,1782.329559557581,36.99996868736751,-27.007282586904125,75.48905598104365,11,Nigeria
USDZAR,2023,16.50804510003446,16.54597693566352,0.22977787738767733,-0.22925110905540613,107.48235267614193,10,South Africa
USDZAR,2024,19.33096385637795,23.43220623410724,21.215922848958986,-17.502587407922533,114.54665764810589,8,South Africa
USDZAR,2025,23.759021808473197,24.85384297110757,4.608022886884712,-4.40503773966504,94.74551370636026,6,South Africa
